timestamp_utc,timestamp_unix_s,left_ft_force,right_ft_force,max_ft_force
2026-04-12T05:45:10.534465+00:00,1775972710.534465,-9.920060,0.000003,0.000003
2026-04-12T05:45:10.602842+00:00,1775972710.602842,-9.901242,0.000003,0.000003
2026-04-12T05:45:10.670219+00:00,1775972710.670219,-9.889800,0.000002,0.000002
2026-04-12T05:45:10.752835+00:00,1775972710.752835,-9.794407,0.000016,0.000016
2026-04-12T05:45:10.829840+00:00,1775972710.829840,-9.872577,0.000000,0.000000
2026-04-12T05:45:10.899626+00:00,1775972710.899626,-9.886795,-0.000003,-0.000003
2026-04-12T05:45:10.967473+00:00,1775972710.967473,-9.880326,-0.000003,-0.000003
2026-04-12T05:45:11.034084+00:00,1775972711.034084,-9.955319,-0.000017,-0.000017
2026-04-12T05:45:11.100771+00:00,1775972711.100771,-9.860318,-0.000002,-0.000002
2026-04-12T05:45:11.170698+00:00,1775972711.170698,-9.831165,0.000002,0.000002
2026-04-12T05:45:11.237517+00:00,1775972711.237517,-9.824091,0.000003,0.000003
2026-04-12T05:45:11.334222+00:00,1775972711.334222,-9.822243,0.000002,0.000002
2026-04-12T05:45:11.404064+00:00,1775972711.404064,-9.737420,0.000016,0.000016
2026-04-12T05:45:11.469215+00:00,1775972711.469215,-9.821980,0.000001,0.000001
2026-04-12T05:45:11.534342+00:00,1775972711.534342,-9.842118,-0.000003,-0.000003
2026-04-12T05:45:11.601505+00:00,1775972711.601505,-9.842179,-0.000003,-0.000003
2026-04-12T05:45:11.672970+00:00,1775972711.672970,-9.837131,-0.000002,-0.000002
2026-04-12T05:45:11.742950+00:00,1775972711.742950,-9.832027,-0.000001,-0.000001
2026-04-12T05:45:11.812613+00:00,1775972711.812613,-9.912178,-0.000015,-0.000015
2026-04-12T05:45:11.881927+00:00,1775972711.881927,-9.823891,0.000000,0.000000
2026-04-12T05:45:11.947815+00:00,1775972711.947815,-9.800291,0.000004,0.000004
2026-04-12T05:45:12.013491+00:00,1775972712.013491,-9.797439,0.000004,0.000004
2026-04-12T05:45:12.081981+00:00,1775972712.081981,-9.799884,0.000003,0.000003
2026-04-12T05:45:12.149038+00:00,1775972712.149038,-9.718369,0.000017,0.000017
2026-04-12T05:45:12.228824+00:00,1775972712.228824,-9.805256,0.000001,0.000001
2026-04-12T05:45:12.302245+00:00,1775972712.302245,-9.911886,-0.000017,-0.000017
2026-04-12T05:45:12.372131+00:00,1775972712.372131,-9.829477,-0.000003,-0.000003
2026-04-12T05:45:12.442594+00:00,1775972712.442594,-9.805040,0.000001,0.000001
2026-04-12T05:45:12.511142+00:00,1775972712.511142,-9.717400,0.000016,0.000016
2026-04-12T05:45:12.579443+00:00,1775972712.579443,-9.803050,0.000001,0.000001
2026-04-12T05:45:12.652707+00:00,1775972712.652707,-9.825868,-0.000002,-0.000002
2026-04-12T05:45:12.721324+00:00,1775972712.721324,-9.827874,-0.000003,-0.000003
2026-04-12T05:45:12.792355+00:00,1775972712.792355,-9.825063,-0.000002,-0.000002
2026-04-12T05:45:12.865218+00:00,1775972712.865218,-9.821686,-0.000001,-0.000001
2026-04-12T05:45:12.933253+00:00,1775972712.933253,-9.818930,-0.000000,-0.000000
2026-04-12T05:45:13.006349+00:00,1775972713.006349,-9.816855,0.000000,0.000000
2026-04-12T05:45:13.070499+00:00,1775972713.070499,-9.814733,0.000001,0.000001
2026-04-12T05:45:13.142253+00:00,1775972713.142253,-9.813690,0.000001,0.000001
2026-04-12T05:45:13.211266+00:00,1775972713.211266,-9.812375,0.000001,0.000001
2026-04-12T05:45:13.277677+00:00,1775972713.277677,-9.811775,0.000002,0.000002
2026-04-12T05:45:13.353043+00:00,1775972713.353043,-9.811086,0.000002,0.000002
2026-04-12T05:45:13.419347+00:00,1775972713.419347,-9.810790,0.000002,0.000002
2026-04-12T05:45:13.485938+00:00,1775972713.485938,-9.810161,0.000002,0.000002
2026-04-12T05:45:13.550502+00:00,1775972713.550502,-9.810166,0.000002,0.000002
