timestamp_utc,timestamp_unix_s,left_ft_force,right_ft_force,max_ft_force
2026-04-12T05:37:42.508793+00:00,1775972262.508793,9.810000,0.000660,9.810000
2026-04-12T05:37:42.572708+00:00,1775972262.572708,9.810002,0.000660,9.810002
2026-04-12T05:37:42.653227+00:00,1775972262.653227,9.810113,0.000661,9.810113
2026-04-12T05:37:42.770564+00:00,1775972262.770564,9.862568,0.000663,9.862568
2026-04-12T05:37:42.841147+00:00,1775972262.841147,9.861991,0.000663,9.861991
2026-04-12T05:37:42.908865+00:00,1775972262.908865,9.854361,0.000663,9.854361
2026-04-12T05:37:42.975993+00:00,1775972262.975993,9.846523,0.000662,9.846523
2026-04-12T05:37:43.042302+00:00,1775972263.042302,9.839276,0.000662,9.839276
2026-04-12T05:37:43.142202+00:00,1775972263.142202,9.834196,0.000661,9.834196
2026-04-12T05:37:43.228536+00:00,1775972263.228536,9.829291,0.000661,9.829291
2026-04-12T05:37:43.314792+00:00,1775972263.314792,9.825857,0.000661,9.825857
2026-04-12T05:37:43.378831+00:00,1775972263.378831,9.822666,0.000661,9.822666
2026-04-12T05:37:43.442495+00:00,1775972263.442495,9.820250,0.000661,9.820250
2026-04-12T05:37:43.509116+00:00,1775972263.509116,9.818903,0.000662,9.818903
2026-04-12T05:37:43.579139+00:00,1775972263.579139,9.816937,0.000660,9.816937
2026-04-12T05:37:43.670786+00:00,1775972263.670786,9.815477,0.000660,9.815477
2026-04-12T05:37:43.742021+00:00,1775972263.742021,9.814978,0.000660,9.814978
2026-04-12T05:37:43.820690+00:00,1775972263.820690,9.813545,0.000660,9.813545
2026-04-12T05:37:43.886367+00:00,1775972263.886367,9.812882,0.000660,9.812882
2026-04-12T05:37:43.956358+00:00,1775972263.956358,9.812564,0.000661,9.812564
2026-04-12T05:37:44.028127+00:00,1775972264.028127,9.812252,0.000660,9.812252
2026-04-12T05:37:44.095209+00:00,1775972264.095209,9.811560,0.000660,9.811560
2026-04-12T05:37:44.174965+00:00,1775972264.174965,9.811509,0.000660,9.811509
2026-04-12T05:37:44.242970+00:00,1775972264.242970,9.811441,0.000659,9.811441
2026-04-12T05:37:44.312420+00:00,1775972264.312420,9.810826,0.000660,9.810826
2026-04-12T05:37:44.391940+00:00,1775972264.391940,9.810601,0.000660,9.810601
2026-04-12T05:37:44.459446+00:00,1775972264.459446,9.810488,0.000660,9.810488
2026-04-12T05:37:44.541837+00:00,1775972264.541837,9.809956,0.000660,9.809956
2026-04-12T05:37:44.609152+00:00,1775972264.609152,9.810556,0.000660,9.810556
2026-04-12T05:37:44.688117+00:00,1775972264.688117,9.809952,0.000660,9.809952
2026-04-12T05:37:44.763137+00:00,1775972264.763137,9.810194,0.000660,9.810194
2026-04-12T05:37:44.833993+00:00,1775972264.833993,9.810195,0.000660,9.810195
2026-04-12T05:37:44.923927+00:00,1775972264.923927,9.810027,0.000660,9.810027
2026-04-12T05:37:44.992886+00:00,1775972264.992886,9.810046,0.000660,9.810046
2026-04-12T05:37:45.068647+00:00,1775972265.068647,9.810392,0.000661,9.810392
2026-04-12T05:37:45.141523+00:00,1775972265.141523,9.810116,0.000660,9.810116
2026-04-12T05:37:45.212177+00:00,1775972265.212177,9.810470,0.000659,9.810470
2026-04-12T05:37:45.285102+00:00,1775972265.285102,9.810149,0.000660,9.810149
2026-04-12T05:37:45.376336+00:00,1775972265.376336,9.810080,0.000660,9.810080
2026-04-12T05:37:45.475847+00:00,1775972265.475847,9.809967,0.000660,9.809967
2026-04-12T05:37:45.540882+00:00,1775972265.540882,9.810091,0.000660,9.810091
2026-04-12T05:37:45.610417+00:00,1775972265.610417,9.809961,0.000660,9.809961
2026-04-12T05:37:45.683756+00:00,1775972265.683756,9.810116,0.000660,9.810116
2026-04-12T05:37:45.750998+00:00,1775972265.750998,9.810070,0.000660,9.810070
2026-04-12T05:37:45.824833+00:00,1775972265.824833,9.809986,0.000660,9.809986
2026-04-12T05:37:45.898294+00:00,1775972265.898294,9.810005,0.000660,9.810005
2026-04-12T05:37:45.965832+00:00,1775972265.965832,9.809979,0.000660,9.809979
2026-04-12T05:37:46.041316+00:00,1775972266.041316,9.809942,0.000660,9.809942
2026-04-12T05:37:46.116498+00:00,1775972266.116498,9.810007,0.000660,9.810007
2026-04-12T05:37:46.183710+00:00,1775972266.183710,9.809940,0.000660,9.809940
2026-04-12T05:37:46.250539+00:00,1775972266.250539,9.810217,0.000660,9.810217
2026-04-12T05:37:46.317007+00:00,1775972266.317007,9.810049,0.000661,9.810049
2026-04-12T05:37:46.387507+00:00,1775972266.387507,9.810134,0.000660,9.810134
2026-04-12T05:37:46.455371+00:00,1775972266.455371,9.810842,0.000659,9.810842
2026-04-12T05:37:46.536634+00:00,1775972266.536634,9.810077,0.000660,9.810077
2026-04-12T05:37:46.611112+00:00,1775972266.611112,9.809895,0.000660,9.809895
2026-04-12T05:37:46.684664+00:00,1775972266.684664,9.810013,0.000660,9.810013
2026-04-12T05:37:46.762594+00:00,1775972266.762594,9.809934,0.000660,9.809934
2026-04-12T05:37:46.842530+00:00,1775972266.842530,9.809945,0.000660,9.809945
2026-04-12T05:37:46.917709+00:00,1775972266.917709,9.810106,0.000660,9.810106
2026-04-12T05:37:46.989528+00:00,1775972266.989528,9.809752,0.000660,9.809752
2026-04-12T05:37:47.069008+00:00,1775972267.069008,9.810141,0.000660,9.810141
2026-04-12T05:37:47.143497+00:00,1775972267.143497,9.810036,0.000661,9.810036
2026-04-12T05:37:47.217096+00:00,1775972267.217096,9.809969,0.000660,9.809969
2026-04-12T05:37:47.305472+00:00,1775972267.305472,9.810270,0.000660,9.810270
2026-04-12T05:37:47.382358+00:00,1775972267.382358,9.810299,0.000660,9.810299
2026-04-12T05:37:47.458613+00:00,1775972267.458613,9.810037,0.000660,9.810037
2026-04-12T05:37:47.527897+00:00,1775972267.527897,9.810084,0.000660,9.810084
2026-04-12T05:37:47.604645+00:00,1775972267.604645,9.810415,0.000659,9.810415
2026-04-12T05:37:47.691803+00:00,1775972267.691803,9.809847,0.000660,9.809847
2026-04-12T05:37:47.772347+00:00,1775972267.772347,9.810066,0.000660,9.810066
2026-04-12T05:37:47.840793+00:00,1775972267.840793,9.809948,0.000660,9.809948
2026-04-12T05:37:47.909025+00:00,1775972267.909025,9.809954,0.000660,9.809954
2026-04-12T05:37:47.981476+00:00,1775972267.981476,9.810066,0.000660,9.810066
2026-04-12T05:37:48.055525+00:00,1775972268.055525,9.809845,0.000660,9.809845
2026-04-12T05:37:48.135543+00:00,1775972268.135543,9.810106,0.000660,9.810106
2026-04-12T05:37:48.225193+00:00,1775972268.225193,9.810056,0.000661,9.810056
2026-04-12T05:37:48.295043+00:00,1775972268.295043,9.810077,0.000660,9.810077
2026-04-12T05:37:48.360037+00:00,1775972268.360037,9.810719,0.000659,9.810719
2026-04-12T05:37:48.429926+00:00,1775972268.429926,9.810018,0.000660,9.810018
2026-04-12T05:37:48.492091+00:00,1775972268.492091,9.810092,0.000660,9.810092
2026-04-12T05:37:48.568318+00:00,1775972268.568318,9.810104,0.000660,9.810104
2026-04-12T05:37:48.646211+00:00,1775972268.646211,9.810062,0.000661,9.810062
2026-04-12T05:37:48.714806+00:00,1775972268.714806,9.810199,0.000659,9.810199
2026-04-12T05:37:48.783782+00:00,1775972268.783782,9.809947,0.000660,9.809947
2026-04-12T05:37:48.852139+00:00,1775972268.852139,9.809951,0.000660,9.809951
2026-04-12T05:37:48.932739+00:00,1775972268.932739,9.810092,0.000660,9.810092
2026-04-12T05:37:49.005981+00:00,1775972269.005981,9.809996,0.000660,9.809996
2026-04-12T05:37:49.084799+00:00,1775972269.084799,9.810014,0.000660,9.810014
2026-04-12T05:37:49.162880+00:00,1775972269.162880,9.810005,0.000661,9.810005
2026-04-12T05:37:49.246731+00:00,1775972269.246731,9.810037,0.000660,9.810037
2026-04-12T05:37:49.314398+00:00,1775972269.314398,9.810032,0.000660,9.810032
2026-04-12T05:37:49.391654+00:00,1775972269.391654,9.810349,0.000660,9.810349
2026-04-12T05:37:49.468358+00:00,1775972269.468358,9.810424,0.000659,9.810424
2026-04-12T05:37:49.543081+00:00,1775972269.543081,9.809966,0.000660,9.809966
2026-04-12T05:37:49.613311+00:00,1775972269.613311,9.810021,0.000660,9.810021
2026-04-12T05:37:49.683602+00:00,1775972269.683602,9.809955,0.000660,9.809955
2026-04-12T05:37:49.753814+00:00,1775972269.753814,9.810015,0.000660,9.810015
2026-04-12T05:37:49.825031+00:00,1775972269.825031,9.809977,0.000660,9.809977
2026-04-12T05:37:49.896503+00:00,1775972269.896503,9.809948,0.000660,9.809948
2026-04-12T05:37:49.962490+00:00,1775972269.962490,9.810058,0.000660,9.810058
2026-04-12T05:37:50.043281+00:00,1775972270.043281,9.809991,0.000660,9.809991
2026-04-12T05:37:50.129770+00:00,1775972270.129770,9.809894,0.000661,9.809894
2026-04-12T05:37:50.200500+00:00,1775972270.200500,9.810217,0.000660,9.810217
2026-04-12T05:37:50.262707+00:00,1775972270.262707,9.810158,0.000660,9.810158
2026-04-12T05:37:50.341408+00:00,1775972270.341408,9.810078,0.000660,9.810078
2026-04-12T05:37:50.411039+00:00,1775972270.411039,37.286372,0.002697,37.286372
2026-04-12T05:37:50.498267+00:00,1775972270.498267,30.434258,0.002238,30.434258
2026-04-12T05:37:50.603835+00:00,1775972270.603835,10.101187,0.000748,10.101187
2026-04-12T05:37:50.681468+00:00,1775972270.681468,4.809081,0.000309,4.809081
2026-04-12T05:37:50.747032+00:00,1775972270.747032,4.816187,0.000307,4.816187
2026-04-12T05:37:50.812002+00:00,1775972270.812002,5.110258,0.000344,5.110258
2026-04-12T05:37:50.879828+00:00,1775972270.879828,6.187583,0.000420,6.187583
2026-04-12T05:37:50.949907+00:00,1775972270.949907,7.735299,0.000514,7.735299
2026-04-12T05:37:51.019526+00:00,1775972271.019526,9.116811,0.000623,9.116811
2026-04-12T05:37:51.092271+00:00,1775972271.092271,12.554406,0.000827,12.554406
2026-04-12T05:37:51.174015+00:00,1775972271.174015,21.332325,0.001405,21.332325
2026-04-12T05:37:51.240728+00:00,1775972271.240728,20.549806,0.001351,20.549806
2026-04-12T05:37:51.313684+00:00,1775972271.313684,19.558040,0.001303,19.558040
2026-04-12T05:37:51.392708+00:00,1775972271.392708,18.759536,0.001253,18.759536
2026-04-12T05:37:51.463805+00:00,1775972271.463805,17.866455,0.001196,17.866455
2026-04-12T05:37:51.532333+00:00,1775972271.532333,21.012455,0.001410,21.012455
2026-04-12T05:37:51.599696+00:00,1775972271.599696,21.661062,0.001461,21.661062
2026-04-12T05:37:51.678355+00:00,1775972271.678355,20.553237,0.001391,20.553237
2026-04-12T05:37:51.739435+00:00,1775972271.739435,18.591553,0.001262,18.591553
2026-04-12T05:37:51.812355+00:00,1775972271.812355,16.194497,0.001102,16.194497
2026-04-12T05:37:51.883325+00:00,1775972271.883325,13.897710,0.000949,13.897710
2026-04-12T05:37:51.948749+00:00,1775972271.948749,14.820323,0.001020,14.820323
2026-04-12T05:37:52.035873+00:00,1775972272.035873,13.376371,0.000935,13.376371
2026-04-12T05:37:52.123215+00:00,1775972272.123215,11.806482,0.000821,11.806482
2026-04-12T05:37:52.205257+00:00,1775972272.205257,13.215478,0.000894,13.215478
2026-04-12T05:37:52.281295+00:00,1775972272.281295,14.195099,0.000959,14.195099
2026-04-12T05:37:52.366103+00:00,1775972272.366103,13.725182,0.000914,13.725182
2026-04-12T05:37:52.459607+00:00,1775972272.459607,14.419047,0.000958,14.419047
2026-04-12T05:37:52.526089+00:00,1775972272.526089,13.973197,0.000930,13.973197
2026-04-12T05:37:52.599493+00:00,1775972272.599493,12.936334,0.000864,12.936334
2026-04-12T05:37:52.668878+00:00,1775972272.668878,12.273455,0.000820,12.273455
2026-04-12T05:37:52.742606+00:00,1775972272.742606,11.780667,0.000789,11.780667
2026-04-12T05:37:52.811870+00:00,1775972272.811870,11.514596,0.000771,11.514596
2026-04-12T05:37:52.889998+00:00,1775972272.889998,11.182244,0.000750,11.182244
2026-04-12T05:37:52.965508+00:00,1775972272.965508,10.978461,0.000737,10.978461
2026-04-12T05:37:53.035983+00:00,1775972273.035983,10.830548,0.000728,10.830548
2026-04-12T05:37:53.101041+00:00,1775972273.101041,10.708304,0.000720,10.708304
2026-04-12T05:37:53.163353+00:00,1775972273.163353,10.601341,0.000713,10.601341
2026-04-12T05:37:53.226585+00:00,1775972273.226585,10.506219,0.000706,10.506219
2026-04-12T05:37:53.306378+00:00,1775972273.306378,10.421223,0.000701,10.421223
2026-04-12T05:37:53.380769+00:00,1775972273.380769,10.344805,0.000696,10.344805
2026-04-12T05:37:53.459373+00:00,1775972273.459373,10.276928,0.000691,10.276928
2026-04-12T05:37:53.528450+00:00,1775972273.528450,10.216746,0.000687,10.216746
2026-04-12T05:37:53.595817+00:00,1775972273.595817,10.111718,0.000681,10.111718
2026-04-12T05:37:53.676411+00:00,1775972273.676411,10.118547,0.000681,10.118547
2026-04-12T05:37:53.798368+00:00,1775972273.798368,10.141213,0.000682,10.141213
2026-04-12T05:37:53.888126+00:00,1775972273.888126,10.052014,0.000676,10.052014
2026-04-12T05:37:53.965396+00:00,1775972273.965396,10.004492,0.000673,10.004492
